feature_ref,project_name,category,sub_category,feature_name,description,type,poc,artifact_detail,used_year,feature_extended,alternate_poc
Taxation-Integration-ADP,,Taxation,Integration,ADP,,,,,,f,
Rating & Reviews-Integration-Pluck,,Rating & Reviews,Integration,Pluck,,,,,,f,
Fraud Check-Integration-Accertify,,Fraud Check,Integration,Accertify,,,,,,f,
Email Marketing-Integration-89 Degrees,,Email Marketing,Integration,89 Degrees,,,,,,f,
Payment-Integration-PayPal HSS,,Payment,Integration,PayPal HSS,,,,,,f,
Payment-Integration-IPay88,,Payment,Integration,IPay88,,,,,,f,
Loyalty-Integration-Navision Loyalty,,Loyalty,Integration,Navision Loyalty,,,,,,f,
Chat-Integration-Zopim,,Chat,Integration,Zopim,,,,,,f,
Email Marketing-Integration-Bronto,,Email Marketing,Integration,Bronto,,,,,,f,
OMS-Integration-Navision OMS,,OMS,Integration,Navision OMS,,,,,,f,
CMS-CustomFeature-Articles View,,CMS,CustomFeature,Articles View,,,,,,f,
Cart Abandonment-Integration-See Why,,Cart Abandonment,Integration,See Why,,,,,,f,
Virtual Try-on-Integration-VTO-FitPhoto,,Virtual Try-on,Integration,VTO-FitPhoto,,,,,,f,
Online Optical System-Benefits and Insurance-Integration-OOS,,Online Optical System-Benefits and Insurance,Integration,OOS,,,,,,f,
OMS-Integration-Order Center,,OMS,Integration,Order Center,,,,,,f,
Email Marketing-Integration-Eloqua,,Email Marketing,Integration,Eloqua,,,,,,f,
Customer Service-Integration-OC-CSR,,Customer Service,Integration,OC-CSR,,,,,,f,
Gift Card-Integration-OC-Gift Card,,Gift Card,Integration,OC-Gift Card,,,,,,f,
Payment-Integration-PayPal-CYBS,,Payment,Integration,PayPal-CYBS,,,,,,f,
Testimonial-Integration-Testimonials,,Testimonial,Integration,Testimonials,,,,,,f,
Image management-Integration-Rx-Image Upload,,Image management,Integration,Rx-Image Upload,,,,,,f,
Payment-Integration-Benefits payment,,Payment,Integration,Benefits payment,,,,,,f,
Payment-Integration-Paypal through Cardinal Commerce,,Payment,Integration,Paypal through Cardinal Commerce,,,,,,f,
Cross Border Fulfillment-Integration-Borderlink,,Cross Border Fulfillment,Integration,Borderlink,,,,,,f,
Tag Manager-Integration-55 Tagging,,Tag Manager,Integration,55 Tagging,,,,,,f,
Order Management-Integration-Radial,,Order Management,Integration,Radial,,,,,,f,
Product Selection & Checkout-Integration-Tetris - T5,,Product Selection & Checkout,Integration,Tetris - T5,,,,,,f,
Web Services-CustomFeature-Rest API Framework,,Web Services,CustomFeature,Rest API Framework,,,,,,f,
Chat-Integration-Touch Commerce,,Chat,Integration,Touch Commerce,,,,,,f,
AB Testing-Integration-M Box,,AB Testing,Integration,M Box,,,,,,f,
Tag Manager-Integration-Media Pixels,,Tag Manager,Integration,Media Pixels,,,,,,f,
AB Testing-Integration-Maxymiser,,AB Testing,Integration,Maxymiser,,,,,,f,
Payment-Integration-Arvato Cartridge,,Payment,Integration,Arvato Cartridge,,,,,,f,
Search Engine Optimization-Integration-GSA Cartridge,,Search Engine Optimization,Integration,GSA Cartridge,,,,,,f,
CRM-Integration-Procampaign Cratridge,,CRM,Integration,Procampaign Cratridge,,,,,,f,
Social Media-Integration-Shariff Cartridge,,Social Media,Integration,Shariff Cartridge,,,,,,f,
Payment-Integration-Klarna,,Payment,Integration,Klarna,,,,,,f,
